category_eng,month,total_sales,market_avg_price,seller_count,market_avg_sales
consoles_games,2016-10,10,388.226,4,2.5
consoles_games,2017-01,23,258.8782608695652,6,3.8333333333333335
consoles_games,2017-02,18,238.5983333333333,7,2.5714285714285716
consoles_games,2017-03,50,215.3768,16,3.125
consoles_games,2017-04,17,221.93411764705883,8,2.125
consoles_games,2017-05,29,86.4551724137931,13,2.230769230769231
consoles_games,2017-06,30,179.63400000000001,12,2.5
consoles_games,2017-07,48,118.33666666666666,16,3.0
consoles_games,2017-08,91,102.8489010989011,17,5.352941176470588
consoles_games,2017-09,66,135.00560606060608,16,4.125
consoles_games,2017-10,109,97.32908256880735,22,4.954545454545454
consoles_games,2017-11,134,94.09611940298507,17,7.882352941176471
consoles_games,2017-12,93,97.58075268817204,20,4.65
consoles_games,2018-01,54,151.87,13,4.153846153846154
consoles_games,2018-02,52,230.3601923076923,16,3.25
consoles_games,2018-03,58,204.46068965517244,17,3.411764705882353
consoles_games,2018-04,48,150.82083333333335,16,3.0
consoles_games,2018-05,54,104.89018518518517,20,2.7
consoles_games,2018-06,43,160.53511627906977,14,3.0714285714285716
consoles_games,2018-07,49,173.85938775510206,15,3.2666666666666666
consoles_games,2018-08,62,77.81435483870968,18,3.4444444444444446
construction_tools_construction,2017-01,1,310.0,1,1.0
construction_tools_construction,2017-02,3,112.26333333333334,2,1.5
construction_tools_construction,2017-03,4,193.35,3,1.3333333333333333
construction_tools_construction,2017-05,1,99.99,1,1.0
construction_tools_construction,2017-06,8,47.04625,3,2.6666666666666665
construction_tools_construction,2017-07,6,91.57333333333332,2,3.0
construction_tools_construction,2017-08,7,168.57142857142858,4,1.75
construction_tools_construction,2017-09,11,117.2,5,2.2
construction_tools_construction,2017-10,19,135.58842105263156,7,2.7142857142857144
construction_tools_construction,2017-11,47,148.7991489361702,19,2.473684210526316
construction_tools_construction,2017-12,27,215.9388888888889,13,2.076923076923077
construction_tools_construction,2018-01,50,209.9196,19,2.6315789473684212
construction_tools_construction,2018-02,69,130.4923188405797,18,3.8333333333333335
construction_tools_construction,2018-03,71,148.58281690140845,23,3.0869565217391304
construction_tools_construction,2018-04,92,144.49815217391304,36,2.5555555555555554
construction_tools_construction,2018-05,125,165.9888,38,3.289473684210526
construction_tools_construction,2018-06,113,203.07716814159292,44,2.5681818181818183
construction_tools_construction,2018-07,115,132.4997391304348,49,2.3469387755102042
construction_tools_construction,2018-08,162,141.46395061728396,51,3.176470588235294
construction_tools_lights,2017-07,1,360.0,1,1.0
construction_tools_lights,2017-08,2,294.5,1,2.0
construction_tools_lights,2017-09,1,229.0,1,1.0
construction_tools_lights,2017-10,2,250.0,1,2.0
construction_tools_lights,2017-11,10,219.948,3,3.3333333333333335
construction_tools_lights,2017-12,2,88.0,1,2.0
construction_tools_lights,2018-01,7,341.85571428571427,4,1.75
construction_tools_lights,2018-02,17,94.75294117647059,8,2.125
construction_tools_lights,2018-03,13,195.1307692307692,5,2.6
construction_tools_lights,2018-04,47,105.58872340425532,9,5.222222222222222
construction_tools_lights,2018-05,41,133.60512195121953,6,6.833333333333333
construction_tools_lights,2018-06,44,104.1684090909091,5,8.8
construction_tools_lights,2018-07,56,133.52875,19,2.9473684210526314
construction_tools_lights,2018-08,62,132.4601612903226,16,3.875
construction_tools_safety,2017-02,1,379.0,1,1.0
construction_tools_safety,2017-03,2,190.0,1,2.0
construction_tools_safety,2017-08,1,8.9,1,1.0
construction_tools_safety,2017-09,5,224.908,3,1.6666666666666667
construction_tools_safety,2017-10,12,139.07083333333333,3,4.0
construction_tools_safety,2017-11,15,221.23933333333335,2,7.5
construction_tools_safety,2017-12,7,197.8457142857143,2,3.5
construction_tools_safety,2018-01,11,202.62636363636364,6,1.8333333333333333
construction_tools_safety,2018-02,8,745.71875,6,1.3333333333333333
construction_tools_safety,2018-03,22,244.31227272727273,7,3.142857142857143
construction_tools_safety,2018-04,24,120.30250000000001,10,2.4
construction_tools_safety,2018-05,29,251.67275862068965,7,4.142857142857143
construction_tools_safety,2018-06,16,160.335625,6,2.6666666666666665
construction_tools_safety,2018-07,15,125.93,10,1.5
construction_tools_safety,2018-08,26,156.5430769230769,13,2.0
cool_stuff,2016-10,8,138.875,8,1.0
cool_stuff,2017-01,40,194.62175,21,1.9047619047619047
cool_stuff,2017-02,70,190.33714285714285,26,2.6923076923076925
cool_stuff,2017-03,123,171.50577235772357,41,3.0
cool_stuff,2017-04,121,180.34776859504134,37,3.27027027027027
cool_stuff,2017-05,249,136.1295983935743,41,6.073170731707317
cool_stuff,2017-06,203,190.16985221674878,39,5.205128205128205
cool_stuff,2017-07,230,163.0728695652174,46,5.0
cool_stuff,2017-08,264,158.03041666666667,56,4.714285714285714
cool_stuff,2017-09,208,184.80927884615386,56,3.7142857142857144
cool_stuff,2017-10,258,174.0698062015504,63,4.095238095238095
cool_stuff,2017-11,304,186.22776315789474,77,3.948051948051948
cool_stuff,2017-12,252,154.80769841269841,57,4.421052631578948
cool_stuff,2018-01,301,134.25149501661127,68,4.426470588235294
cool_stuff,2018-02,187,165.7872192513369,51,3.6666666666666665
cool_stuff,2018-03,256,149.817265625,59,4.338983050847458
cool_stuff,2018-04,207,170.05990338164253,52,3.980769230769231
cool_stuff,2018-05,177,170.22090395480225,44,4.0227272727272725
cool_stuff,2018-06,103,187.53757281553396,42,2.4523809523809526
cool_stuff,2018-07,122,251.2418852459016,44,2.772727272727273
cool_stuff,2018-08,123,132.9640650406504,51,2.411764705882353
costruction_tools_garden,2017-02,2,289.99,1,2.0
costruction_tools_garden,2017-04,8,186.27625,3,2.6666666666666665
costruction_tools_garden,2017-05,8,197.155,3,2.6666666666666665
