seller_id,month,nominal_gmv,realized_cash
01fdefa7697d26ad920e9e0346d4bd1b,2018-03,657.72,1336.6344563492064
01fdefa7697d26ad920e9e0346d4bd1b,2018-04,485.03999999999996,1022.6130873015873
01fdefa7697d26ad920e9e0346d4bd1b,2018-05,363.66999999999996,882.6381111111111
01fdefa7697d26ad920e9e0346d4bd1b,2018-06,863.97,628.3758611111111
01fdefa7697d26ad920e9e0346d4bd1b,2018-07,680.55,1009.2538611111111
01fdefa7697d26ad920e9e0346d4bd1b,2018-08,2320.02,1078.8626111111112
0241d4d5d36f10f80c644447315af0bd,2017-10,171.74,0.0
0241d4d5d36f10f80c644447315af0bd,2017-11,882.81,192.25375
0241d4d5d36f10f80c644447315af0bd,2017-12,921.93,560.36325
0241d4d5d36f10f80c644447315af0bd,2018-01,3887.2121964233606,737.2076666666667
0241d4d5d36f10f80c644447315af0bd,2018-02,3863.645,2806.9387726180057
0241d4d5d36f10f80c644447315af0bd,2018-03,3498.444709711076,2874.369689284672
0241d4d5d36f10f80c644447315af0bd,2018-04,3185.9863694178866,2687.447548030374
0241d4d5d36f10f80c644447315af0bd,2018-05,5274.844260730317,3223.9702526939786
0241d4d5d36f10f80c644447315af0bd,2018-06,6413.64908707442,4078.421756197314
0241d4d5d36f10f80c644447315af0bd,2018-07,5825.887633626667,4524.391705803729
0241d4d5d36f10f80c644447315af0bd,2018-08,4361.211307236231,4712.329939141807
0249d282d911d23cb8b869ab49c99f53,2017-09,63.57,0.0
0249d282d911d23cb8b869ab49c99f53,2017-10,176.78648841354723,142.715
0249d282d911d23cb8b869ab49c99f53,2017-11,245.21,97.49824420677362
0249d282d911d23cb8b869ab49c99f53,2017-12,0.0,173.5182442067736
0249d282d911d23cb8b869ab49c99f53,2018-01,0.0,38.505
0249d282d911d23cb8b869ab49c99f53,2018-02,0.0,21.805
0249d282d911d23cb8b869ab49c99f53,2018-03,34.79,11.525
0249d282d911d23cb8b869ab49c99f53,2018-04,0.0,34.79
024b564ae893ce8e9bfa02c10a401ece,2017-02,293.2,0.0
024b564ae893ce8e9bfa02c10a401ece,2017-03,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-04,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-05,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-06,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-07,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-08,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-09,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-10,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-11,0.0,29.32
024b564ae893ce8e9bfa02c10a401ece,2017-12,0.0,29.32
028872bfa080090a9d0abd4f1af168f8,2017-08,117.87,0.0
028872bfa080090a9d0abd4f1af168f8,2017-09,0.0,117.87
02a2272692e13558373c66db98f05e2e,2017-02,44.51,0.0
02a2272692e13558373c66db98f05e2e,2017-03,49.34,11.1275
02a2272692e13558373c66db98f05e2e,2017-04,0.0,23.4625
02a2272692e13558373c66db98f05e2e,2017-05,0.0,23.4625
02a2272692e13558373c66db98f05e2e,2017-06,0.0,23.4625
02a2272692e13558373c66db98f05e2e,2017-07,0.0,12.335
02b72cdeb9cfcc429f1af6f4e3f3b737,2018-07,173.85,173.85
